score,titleSim,summarySim,shared,a_slug,a_status,a_org,a_title,b_slug,b_status,b_org,b_title
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","first-baptist-church-of-bastrop-bastrop","draft","First Baptist Church of Bastrop","Despensa de alimentos","luling-mobile-food-pantry-caldwell","draft","Luling Mobile Food Pantry","Despensa de alimentos"
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","first-baptist-church-of-bastrop-bastrop","draft","First Baptist Church of Bastrop","Despensa de alimentos","fayette-county-community-action-food-pantry-fayette","draft","Fayette County Community Action Food Pantry","Despensa de alimentos"
"1","0.49","1","web:centraltexasfoodbankorgfindfoodnow","first-baptist-church-of-bastrop-bastrop","draft","First Baptist Church of Bastrop","Despensa de alimentos","burnet-county-hunger-alliance-burnet","draft","Burnet County Hunger Alliance","Red de asistencia alimentaria"
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","sacred-heart-catholic-church-elgin-society-of-st-vincent-de-paul-bastrop","draft","Sacred Heart Catholic Church (Elgin)- Society of St. Vincent De Paul","Despensa de alimentos","dale-mobile-pantry-caldwell","draft","Dale Mobile Pantry","Despensa de alimentos"
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","sacred-heart-catholic-church-elgin-society-of-st-vincent-de-paul-bastrop","draft","Sacred Heart Catholic Church (Elgin)- Society of St. Vincent De Paul","Despensa de alimentos","luling-mobile-food-pantry-caldwell","draft","Luling Mobile Food Pantry","Despensa de alimentos"
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","sacred-heart-catholic-church-elgin-society-of-st-vincent-de-paul-bastrop","draft","Sacred Heart Catholic Church (Elgin)- Society of St. Vincent De Paul","Despensa de alimentos","fayette-county-community-action-food-pantry-fayette","draft","Fayette County Community Action Food Pantry","Despensa de alimentos"
"1","0.49","1","web:centraltexasfoodbankorgfindfoodnow","sacred-heart-catholic-church-elgin-society-of-st-vincent-de-paul-bastrop","draft","Sacred Heart Catholic Church (Elgin)- Society of St. Vincent De Paul","Despensa de alimentos","burnet-county-hunger-alliance-burnet","draft","Burnet County Hunger Alliance","Red de asistencia alimentaria"
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","dale-mobile-pantry-caldwell","draft","Dale Mobile Pantry","Despensa de alimentos","luling-mobile-food-pantry-caldwell","draft","Luling Mobile Food Pantry","Despensa de alimentos"
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","dale-mobile-pantry-caldwell","draft","Dale Mobile Pantry","Despensa de alimentos","fayette-county-community-action-food-pantry-fayette","draft","Fayette County Community Action Food Pantry","Despensa de alimentos"
"1","0.49","1","web:centraltexasfoodbankorgfindfoodnow","dale-mobile-pantry-caldwell","draft","Dale Mobile Pantry","Despensa de alimentos","burnet-county-hunger-alliance-burnet","draft","Burnet County Hunger Alliance","Red de asistencia alimentaria"
"1","1","1","web:centraltexasfoodbankorgfindfoodnow","luling-mobile-food-pantry-caldwell","draft","Luling Mobile Food Pantry","Despensa de alimentos","fayette-county-community-action-food-pantry-fayette","draft","Fayette County Community Action Food Pantry","Despensa de alimentos"
"1","0.49","1","web:centraltexasfoodbankorgfindfoodnow","luling-mobile-food-pantry-caldwell","draft","Luling Mobile Food Pantry","Despensa de alimentos","burnet-county-hunger-alliance-burnet","draft","Burnet County Hunger Alliance","Red de asistencia alimentaria"
"1","0.49","1","web:centraltexasfoodbankorgfindfoodnow","fayette-county-community-action-food-pantry-fayette","draft","Fayette County Community Action Food Pantry","Despensa de alimentos","burnet-county-hunger-alliance-burnet","draft","Burnet County Hunger Alliance","Red de asistencia alimentaria"
"1","1","0.83","ph:5128544120","travis-county-family-support-services-palm-square-office-health-and-personal-support-travi","archived","Travis County Family Support Services (Palm Square Office)","Beneficios del Seguro Social","travis-county-family-support-services-palm-square-office-housing-and-financial-assistance-3","archived","Travis County Family Support Services (Palm Square Office)","Beneficios del Seguro Social"
"1","1","1","web:austinblessingsorg","austin-blessings-food-pantry-austin-reconciliation-church-travis","draft","Austin Blessings Food Pantry: Austin Reconciliation Church","Despensa de alimentos","austin-blessings-food-pantry-austin-blessings-outreach-center-travis","draft","Austin Blessings Food Pantry: Austin Blessings Outreach Center","Despensa de alimentos"
"1","1","1","ph:8885117173","feed-the-need-stony-point-travis","draft","Feed the Need - Stony Point","Comidas calientes gratuitas","feed-the-need-bastrop-north-bastrop","draft","Feed the Need - Bastrop North","Comidas calientes gratuitas"
"1","1","1","ph:8885117173","feed-the-need-stony-point-travis","draft","Feed the Need - Stony Point","Comidas calientes gratuitas","feed-the-need-bastrop-south-bastrop","draft","Feed the Need - Bastrop South","Comidas calientes gratuitas"
"1","1","1","ph:8885117173","feed-the-need-stony-point-travis","draft","Feed the Need - Stony Point","Comidas calientes gratuitas","feed-the-need-smithville-bastrop","draft","Feed the Need - Smithville","Comidas calientes gratuitas"
"1","1","1","ph:8885117173","feed-the-need-bastrop-north-bastrop","draft","Feed the Need - Bastrop North","Comidas calientes gratuitas","feed-the-need-bastrop-south-bastrop","draft","Feed the Need - Bastrop South","Comidas calientes gratuitas"
"1","1","1","ph:8885117173","feed-the-need-bastrop-north-bastrop","draft","Feed the Need - Bastrop North","Comidas calientes gratuitas","feed-the-need-smithville-bastrop","draft","Feed the Need - Smithville","Comidas calientes gratuitas"
"1","1","1","ph:8885117173","feed-the-need-bastrop-south-bastrop","draft","Feed the Need - Bastrop South","Comidas calientes gratuitas","feed-the-need-smithville-bastrop","draft","Feed the Need - Smithville","Comidas calientes gratuitas"
"1","0.46","1","web:safoodbankorghelp","san-antonio-food-bank-partner-network-gonzales","draft","San Antonio Food Bank Partner Network","Localizador de ayuda alimentaria","san-antonio-food-bank-guadalupe","draft","San Antonio Food Bank","Despensa de alimentos"
"1","0.34","1","ph:8007508956","mortgage-relief-helpline-community-support-williamson","archived","Mortgage Relief Helpline","Asistencia de vivienda","mortgage-relief-helpline-care-connect-usa-community-support-bastrop","draft","CareConnect USA","Orientación hipotecaria y prevención de ejecución"
"0.96","0.8","0.96","ph:8004232111","cedar-park-va-clinic-community-support-williamson","draft","Cedar Park VA Clinic","Atención primaria y especializada para veteranos","lagrange-va-clinic-community-support-lagrange","draft","LaGrange VA Clinic","Atención primaria y telesalud para veteranos"
"0.96","0.81","0.96","ph:5125055666","carts-now-bastrop-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","CARTS Now Bastrop (servicio a demanda)","carts-now-elgin-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","CARTS Now Elgin (servicio a demanda)"
"0.95","0.81","0.95","ph:8775417905 web:yourtexasbenefitscom","oficina-de-beneficios-de-hhsc-bastrop-texas-health-and-human-services-commission-hhsc","draft","Texas Health and Human Services Commission (HHSC)","Oficina de Beneficios de HHSC — Bastrop","oficina-de-beneficios-de-hhsc-elgin-texas-health-and-human-services-commission-hhsc","draft","Texas Health and Human Services Commission (HHSC)","Oficina de Beneficios de HHSC — Elgin"
"0.94","0.65","0.94","ph:8553663401 web:centraltexasfoodbankorgfindfoodnow","despensa-movil-de-cedar-creek-central-texas-food-bank-central-texas-food-bank","draft","Central Texas Food Bank","Despensa móvil de Cedar Creek","despensa-movil-de-elgin-central-texas-food-bank-central-texas-food-bank","draft","Central Texas Food Bank","Despensa móvil de Elgin"
"0.94","0.94","0.7","web:integralcareorgenhome3","integral-care-mental-health-and-wellness-services","published","Integral Care","Servicios de salud mental, uso de sustancias y crisis","integral-care-mental-health-and-substance-use-services","archived","Integral Care","Servicios de salud mental y uso de sustancias"
"0.94","0.94","0.71","web:integralcareorgenhome3","integral-care-mental-health-and-substance-use-services","archived","Integral Care","Servicios de salud mental y uso de sustancias","integral-care-integral-care-2","archived","Integral Care","Salud Mental, Uso de Sustancias y Servicios de Crisis"
"0.94","0.65","0.94","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-st-john-community-center","published","Austin Public Health","Centro Comunitario St. John","austin-public-health-montopolis-community-center","published","Austin Public Health","Centro Comunitario Montopolis"
"0.92","0.92","0.61","web:vlsoctorggethelp","volunteer-legal-services-of-central-texas-volunteer-legal-services-of-central-texas","archived","Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas","volunteer-legal-services-of-central-texas-vlsoct-volunteer-legal-services-of-central-texas","archived","Volunteer Legal Services of Central Texas","Servicios Legales Voluntarios del Centro de Texas (VLSoCT)"
"0.92","0.92","0.66","ph:8443096385","bluebonnet-trails-osar-williamson","published","Bluebonnet Trails Community Services","Evaluación y referidos para uso de sustancias","bluebonnet-trails-osar-outreach-screening-assessment-and-referral-health-and-personal-supp","draft","Bluebonnet Trails (OSAR) Outreach, Screening, Assessment, and Referral","Evaluación y referidos para consumo de sustancias"
"0.92","0.21","0.92","ph:5122442431","round-rock-area-serving-center-assistance","published","Round Rock Area Serving Center","Despensa y asistencia financiera","round-rock-area-serving-center","archived","Round Rock Area Serving Center","Round Rock Area Serving Center"
"0.9","0.81","0.9","web:driveaseniororg","drive-a-senior-central-texas-drive-a-senior-central-texas","draft","Drive a Senior Central Texas","Transporte y apoyo en el hogar para adultos mayores","ollie-s-medical-equipment-lending-closet-senior-access-drive-a-senior-drive-a-senior-central-texas-antes-senior-access","published","Drive a Senior Central Texas (antes ""Senior Access"")","Drive a Senior – Transporte y Apoyo para Adultos Mayores"
"0.9","0.34","0.9","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-dove-springs-neighborhood-center","published","Austin Public Health","Centro Vecinal Dove Springs","austin-public-health-montopolis-community-center","published","Austin Public Health","Centro Comunitario Montopolis"
"0.9","0.36","0.9","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-st-john-community-center","published","Austin Public Health","Centro Comunitario St. John","austin-public-health-east-austin-neighborhood-center","published","Austin Public Health","Centro Vecinal del Este de Austin"
"0.89","0.25","0.89","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-east-austin-neighborhood-center","published","Austin Public Health","Centro Vecinal del Este de Austin","austin-public-health-montopolis-community-center","published","Austin Public Health","Centro Comunitario Montopolis"
"0.88","0.66","0.88","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-dove-springs-neighborhood-center","published","Austin Public Health","Centro Vecinal Dove Springs","austin-public-health-east-austin-neighborhood-center","published","Austin Public Health","Centro Vecinal del Este de Austin"
"0.87","0.87","0.63","ph:5124726339 web:driveaseniororg","transporte-gratuito-para-adultos-mayores-drive-a-senior","published","Drive a Senior","Transporte gratuito para adultos mayores","drive-a-senior-network-drive-a-senior-network","published","Drive a Senior Network","Transporte voluntario para adultos mayores"
"0.87","0.35","0.87","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-dove-springs-neighborhood-center","published","Austin Public Health","Centro Vecinal Dove Springs","austin-public-health-st-john-community-center","published","Austin Public Health","Centro Comunitario St. John"
"0.86","0.86","0.36","ph:5122854161","despensa-de-la-primera-iglesia-bautista-de-elgin-first-baptist-church-elgin","draft","First Baptist Church Elgin","Despensa de alimentos de Elgin","first-baptist-church-of-elgin-bastrop","draft","First Baptist Church of Elgin","Despensa de alimentos"
"0.85","0.85","0.32","web:atxaffordablehousingnet","buscador-de-vivienda-asequible-de-austin-city-of-austin-housing-department","published","City of Austin Housing Department","Buscador de vivienda asequible de Austin","affordable-housing-online-search-tool-ahost-affordable-housing-search","published","Affordable Housing Online Search Tool (AHOST)","Búsqueda de vivienda asequible"
"0.85","0.85","0.65","web:driveaseniororg","ollie-s-medical-equipment-lending-closet-senior-access-drive-a-senior-drive-a-senior-central-texas-antes-senior-access","published","Drive a Senior Central Texas (antes ""Senior Access"")","Drive a Senior – Transporte y Apoyo para Adultos Mayores","drive-a-senior-transporte-para-adultos-mayores-del-centro-de-texas-drive-a-senior-antes-chariot","draft","Drive a Senior (antes ""Chariot"")","Drive a Senior — Transporte para Adultos Mayores del Centro de Texas"
"0.84","0.84","0.35","ph:5124398900 web:elbuenorg addr:7000 woodhue drive|austin","despensa-de-alimentos-y-distribucion-de-panales-el-buen-samaritano","published","El Buen Samaritano","Servicios comunitarios y apoyo familiar","el-buen-samaritano-community-support-services","archived","El Buen Samaritano","Servicios de apoyo comunitario"
"0.84","0.84","0.6","web:trlaorg","asistencia-legal-civil-gratuita-texas-riogrande-legal-aid","archived","Texas RioGrande Legal Aid","Asistencia legal civil gratuita","texas-rio-grande-legal-aid-legal-and-safety-support-austin","draft","Texas Rio Grande Legal Aid","Asistencia legal civil"
"0.84","0.84","0.63","web:gmzaustinorgcausespoverty","greater-mt-zion-church-greater-mt-zion-church","published","Greater Mt. Zion Church","Asistencia para alquiler y servicios públicos","greater-mt-zion-church-community-assistance-and-referral-center-housing-and-financial-assi","draft","Greater Mt. Zion Church (Community Assistance and Referral Center)","Asistencia con servicios públicos"
"0.82","0.82","0.57","ph:5126432327 web:austinbaptistchapelcom addr:908 e cesar chavez st|austin","comidas-calientes-y-duchas-en-angel-house-austin-baptist-chapel","published","Austin Baptist Chapel","Comidas calientes y duchas en Angel House","angel-house-austin-baptist-chapel-angel-house-austin-baptist-chapel","published","Angel House/ Austin Baptist Chapel","Comidas calientes y duchas"
"0.81","0.81","0.54","ph:5129789015 web:communitycaretxorg","atencion-medica-primaria-y-especializada-communitycare-health-centers","published","CommUnityCare Health Centers","Atención médica primaria y especializada","communitycare-primary-and-specialty-health-services","published","CommUnityCare","Servicios de salud primaria y especializada"
"0.79","0.79","0.56","ph:5124726339 web:driveaseniororg","transporte-gratuito-para-adultos-mayores-drive-a-senior","published","Drive a Senior","Transporte gratuito para adultos mayores","drive-a-senior-central-texas-drive-a-senior-central-texas","draft","Drive a Senior Central Texas","Transporte y apoyo en el hogar para adultos mayores"
"0.79","0.59","0.79","web:traviscadorghomesteadexemptions addr:850 east anderson lane|austin","travis-central-appraisal-district-tcad","draft","Travis Central Appraisal District (TCAD)","Avalúo de propiedades y exenciones fiscales","exencion-de-impuestos-homestead-65-distrito-de-tasacion-travis-central-appraisal-district-y-distritos-equivalentes-en-cada-condado","draft","Travis Central Appraisal District (y distritos equivalentes en cada condado)","Exención de Impuestos Homestead 65+ (Distrito de Tasación)"
"0.78","0.73","0.78","ph:5124722445 web:cpcaustinorg addr:200 e 8th st|austin","central-presbyterian-church-breakfast-and-basic-needs-support","published","Central Presbyterian Church","Central Mission: desayuno y necesidades básicas","central-presbyterian-church-central-presbyterian-church","archived","Central Presbyterian Church","Central Mission – Alimentos y Necesidades Básicashttps://cpcaustin.org/"
"0.77","0.77","0.62","ph:8778005722 web:lonestarcaresorg","lone-star-circle-of-care-round-rock-behavioral-health","published","Lone Star Circle of Care","Atención de salud conductual — Round Rock","lone-star-circle-of-care-georgetown-behavioral-health","published","Lone Star Circle of Care","Atención de salud conductual — Georgetown"
"0.77","0.64","0.77","ph:5122677233 web:safeaustinorg","linea-confidencial-24-7-para-violencia-y-abuso-the-safe-alliance","published","The SAFE Alliance","Línea confidencial 24/7 para violencia y abuso","the-safe-alliance-servicios-legales-the-safe-alliance","published","The SAFE Alliance","Apoyo y Servicios Gratuitos para Sobrevivientes de Violencia y Abuso"
"0.77","0.59","0.77","ph:5125485091 web:crctxorg","williamson-county-community-resource-navigation","published","Williamson County Community Resource Center","Orientación para encontrar ayuda","williamson-county-community-resource-center-liberty-hill","published","Community Resource Centers of Texas","Williamson County Community Resource Center – Liberty Hill"
"0.76","0.76","0.58","ph:5124398900 web:elbuenorg","despensa-de-alimentos-y-distribucion-de-panales-el-buen-samaritano","published","El Buen Samaritano","Servicios comunitarios y apoyo familiar","el-buen-samaritano-community-support-for-individuals-and-families","archived","El Buen Samaritano","Apoyo comunitario para personas y familias"
"0.76","0.61","0.76","ph:5124514611 web:ageofcentraltxorg addr:7640 guadalupe st|austin","age-of-central-texas-servicios-para-cuidadores-age-of-central-texas","draft","AGE of Central Texas","Orientación y apoyo para cuidadores familiares","h-e-l-p-programa-de-prestamo-de-equipo-medico-age-of-central-texas-age-of-central-texas","published","AGE of Central Texas","Apoyo integral para adultos mayores y cuidadores"
"0.75","0.62","0.75","web:elgincommunitycupboardorg addr:303 ave c|elgin","despensa-comunitaria-community-cupboard-elgin-community-cupboard","draft","Community Cupboard","Despensa comunitaria de Elgin","elgin-community-cupboard-elgin-community-cupboard","published","Elgin Community Cupboard","Despensa de Alimentos"
"0.74","0.74","0.66","ph:5124726339 web:driveaseniororg","drive-a-senior-network-drive-a-senior-network","published","Drive a Senior Network","Transporte voluntario para adultos mayores","drive-a-senior-central-texas-drive-a-senior-central-texas","draft","Drive a Senior Central Texas","Transporte y apoyo en el hogar para adultos mayores"
"0.7","0.57","0.7","ph:8778005722 addr:2423 williams dr|georgetown","lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","Clínica comunitaria de Georgetown","lone-star-circle-of-care-georgetown-behavioral-health","published","Lone Star Circle of Care","Atención de salud conductual — Georgetown"
"0.7","0.7","0.61","ph:5124543743 web:anybabycanorg","apoyo-integral-para-familias-con-ninos-any-baby-can","published","Any Baby Can","Apoyo integral para familias con niñas y niños","any-baby-can-community-support-for-individuals-and-families","archived","Any Baby Can","Apoyo comunitario para personas y familias"
"0.7","0.58","0.7","ph:5126516100 web:ccctxorgfinancialstability","catholic-charities-of-central-texas-catholic-charities-of-central-texas","published","Catholic Charities of Central Texas","Asistencia financiera","catholic-charities-of-central-texas-housing-and-financial-assistance-travis","archived","Catholic Charities of Central Texas","Asistencia con servicios públicos"
"0.69","0.69","0.58","ph:5124784939 web:austinpccorg addr:1101 camino la costa|austin","atencion-medica-familiar-de-bajo-costo-people-s-community-clinic","published","People's Community Clinic","Atención médica familiar de bajo costo","people-s-community-clinic-community-health-clinic","published","People's Community Clinic","Asistencia de MAP y atención médica asequible"
"0.68","0.61","0.68","ph:5127631400 web:owbctxorg","opportunities-williamson-burnet-counties","published","Opportunities for Williamson & Burnet Counties","Servicios comunitarios y manejo de casos","opportunities-for-williamson-and-burnet-counties-community-case-management-support","published","Opportunities for Williamson & Burnet Counties (OWBC)","Servicios Comunitarios, Head Start y Meals on Wheels"
"0.67","0.67","0.57","ph:5124787433 web:ridecartscom","transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","published","Capital Area Rural Transportation System (CARTS)","Transporte rural y regional en Travis County","capital-area-rutal-transportation-systems-carts-transportation-williamson","draft","Capital Area Rutal Transportation Systems (CARTS)","Reservaciones de transporte regional CARTS"
"0.67","0.67","0.65","ph:5123921161 web:communityactioncom","community-action-of-central-texas-housing-and-financial-assistance-williamson","draft","Community Action of Central Texas","Referidos para servicios públicos y medicamentos","community-action-for-central-texas-health-and-personal-support-bastrop","draft","Community Action for Central Texas","Medicamentos de bajo costo y referidos médicos"
"0.65","0.65","0.56","ph:5125877729 web:emancipetorgfindyourclinic","emancipet-community-support-williamson","draft","Emancipet","Clínicas veterinarias móviles","emancipet-community-support-travis","archived","Emancipet","Atención veterinaria"
"0.62","0.62","0.52","ph:7373310372 web:communityactioncomadulteducation","educacion-para-adultos-de-community-action-inc-bastrop-community-action-inc-of-central-texas","draft","Community Action, Inc. of Central Texas","Educación para Adultos de Community Action Inc. (Bastrop)","community-action-for-central-texas-adult-education-education-and-employment-san-marcos","draft","Community Action for Central Texas - Adult Education","Educación para adultos"
"0.61","0.61","0.32","ph:5124398900 web:elbuenorg","el-buen-samaritano-community-support-for-individuals-and-families","archived","El Buen Samaritano","Apoyo comunitario para personas y familias","el-buen-samaritano-community-support-services","archived","El Buen Samaritano","Servicios de apoyo comunitario"
"0.59","0.59","0.39","ph:5122822111 web:centraltexasfoodbankorg","central-texas-food-bank-food-distribution","published","Central Texas Food Bank","Distribución de alimentos","central-texas-food-bank-travis","archived","Central Texas Food Bank","Despensa de alimentos"
"0.59","0.59","0.52","ph:5123525553 web:shepherdshearttaylororg","shepherds-heart-taylor-assistance","published","Shepherd's Heart Food Pantry","Despensa y asistencia de Taylor","shepherd-s-heart-food-pantry-and-community-ministries-williamson","draft","Shepherd's Heart Food Pantry and Community Ministries","Despensa de alimentos"
